date,source,rmssd_ms,sdnn_ms,pnn50_pct,lf_hf_ratio,resting_hr_bpm,night_hrv_flag
2026-03-22,sample,42.2,48.5,16.4,2.05,59.0,1
2026-03-23,sample,41.2,51.7,16.7,1.72,61.0,1
2026-03-24,sample,43.3,50.1,9.3,1.03,63.0,1
2026-03-25,sample,54.0,53.9,19.2,1.48,64.0,1
2026-03-26,sample,39.8,63.5,14.7,1.15,60.0,1
2026-03-27,sample,50.8,56.3,17.4,1.34,64.0,1
2026-03-28,sample,34.9,53.7,15.6,1.95,60.0,1
2026-03-29,sample,43.0,46.7,19.5,1.69,57.0,1
2026-03-30,sample,46.0,41.6,11.2,1.29,58.0,1
2026-03-31,sample,48.5,51.1,12.7,1.2,56.0,1
2026-04-01,sample,49.3,54.6,30.6,1.51,57.0,1
2026-04-02,sample,49.8,69.1,13.6,1.14,59.0,1
2026-04-03,sample,42.9,56.0,14.5,1.3,62.0,1
2026-04-04,sample,42.2,62.9,29.2,1.59,65.0,1
2026-04-05,sample,50.1,51.0,34.5,1.85,56.0,1
2026-04-06,sample,43.9,45.5,14.1,1.68,61.0,1
2026-04-07,sample,37.3,47.3,18.2,0.81,57.0,1
2026-04-08,sample,38.2,49.2,21.7,1.59,61.0,1
2026-04-09,sample,39.5,72.0,28.6,1.52,60.0,1
2026-04-10,sample,48.0,48.4,15.1,1.62,55.0,1
2026-04-11,sample,45.9,61.7,18.8,1.98,63.0,1
2026-04-12,sample,49.1,47.8,23.9,0.88,58.0,1
2026-04-13,sample,42.4,62.5,22.2,1.32,58.0,1
2026-04-14,sample,46.0,58.1,18.1,1.68,57.0,1
2026-04-15,sample,48.8,53.7,19.3,1.03,58.0,1
2026-04-16,sample,43.1,54.7,13.1,1.94,61.0,1
2026-04-17,sample,47.7,49.8,18.8,1.61,59.0,1
2026-04-18,sample,41.0,58.6,18.7,1.75,61.0,1
2026-04-19,sample,42.8,51.4,21.2,1.33,61.0,1
2026-04-20,sample,42.7,45.2,17.2,1.74,64.0,1
2026-04-21,sample,37.8,44.8,22.4,1.82,59.0,1
2026-04-22,sample,47.9,56.4,25.1,1.57,56.0,1
2026-04-23,sample,42.2,67.6,20.8,1.57,63.0,1
2026-04-24,sample,45.1,56.3,21.8,1.58,59.0,1
2026-04-25,sample,47.9,54.1,20.3,1.24,63.0,1
2026-04-26,sample,47.7,57.3,20.0,1.46,61.0,1
