date,source,sleep_duration_h,sleep_score,deep_sleep_h,rem_sleep_h,awake_time_min,sleep_efficiency_pct
2026-03-04,sample,6.73,89.0,0.82,1.32,77.0,81.0
2026-03-05,sample,7.46,88.0,1.44,1.86,54.0,87.0
2026-03-06,sample,6.69,76.0,1.14,1.79,38.0,92.0
2026-03-07,sample,7.6,81.0,0.53,1.73,55.0,91.0
2026-03-08,sample,7.85,59.0,1.54,1.97,41.0,88.0
2026-03-09,sample,7.42,69.0,1.38,1.79,40.0,91.0
2026-03-10,sample,7.03,76.0,1.09,1.82,54.0,89.0
2026-03-11,sample,7.47,69.0,0.9,1.79,45.0,93.0
2026-03-12,sample,7.01,84.0,1.55,1.7,48.0,88.0
2026-03-13,sample,7.76,94.0,1.4,1.06,45.0,85.0
2026-03-14,sample,6.1,69.0,2.01,1.63,48.0,89.0
2026-03-15,sample,7.0,71.0,1.43,1.43,49.0,72.0
2026-03-16,sample,6.01,80.0,1.42,1.22,26.0,89.0
2026-03-17,sample,6.3,91.0,1.25,2.1,52.0,69.0
2026-03-18,sample,8.02,68.0,1.55,2.12,35.0,78.0
2026-03-19,sample,7.74,80.0,1.49,2.01,31.0,89.0
2026-03-20,sample,6.77,93.0,1.68,1.68,44.0,89.0
2026-03-21,sample,6.3,65.0,1.14,2.01,46.0,81.0
2026-03-22,sample,5.42,68.0,1.17,1.6,38.0,83.0
2026-03-23,sample,6.87,75.0,1.16,1.66,53.0,94.0
2026-03-24,sample,8.65,74.0,1.54,1.27,32.0,85.0
2026-03-25,sample,7.46,85.0,1.75,1.72,41.0,98.0
2026-03-26,sample,6.86,80.0,1.16,1.62,39.0,87.0
2026-03-27,sample,7.48,64.0,1.17,1.21,45.0,89.0
2026-03-28,sample,6.26,82.0,1.39,1.58,48.0,95.0
2026-03-29,sample,7.02,73.0,1.23,1.58,35.0,88.0
2026-03-30,sample,7.26,88.0,1.59,2.14,52.0,82.0
2026-03-31,sample,7.15,73.0,0.62,1.87,46.0,86.0
2026-04-01,sample,7.67,73.0,1.05,1.6,26.0,87.0
2026-04-02,sample,7.41,82.0,1.07,1.67,25.0,80.0
2026-04-03,sample,7.6,84.0,0.6,1.61,45.0,86.0
2026-04-04,sample,6.79,82.0,1.01,1.54,43.0,83.0
2026-04-05,sample,7.74,65.0,1.03,1.28,44.0,92.0
2026-04-06,sample,8.18,82.0,1.24,1.55,45.0,87.0
2026-04-07,sample,6.62,70.0,1.63,1.38,47.0,86.0
2026-04-08,sample,6.67,80.0,1.23,1.22,54.0,86.0
2026-04-09,sample,8.0,67.0,0.99,1.75,34.0,88.0
2026-04-10,sample,7.09,82.0,1.28,1.72,33.0,90.0
2026-04-11,sample,8.04,72.0,1.61,1.06,34.0,82.0
2026-04-12,sample,6.93,68.0,1.01,1.56,48.0,82.0
2026-04-13,sample,8.07,84.0,1.03,1.9,57.0,93.0
2026-04-14,sample,7.28,80.0,1.47,1.92,41.0,85.0
2026-04-15,sample,7.35,73.0,1.23,1.91,20.0,80.0
2026-04-16,sample,8.14,90.0,1.49,1.61,28.0,89.0
2026-04-17,sample,6.98,74.0,1.3,1.35,37.0,89.0
2026-04-18,sample,6.64,78.0,1.51,1.27,39.0,79.0
2026-04-19,sample,6.93,80.0,0.99,1.7,41.0,88.0
2026-04-20,sample,7.47,73.0,1.3,1.71,45.0,91.0
2026-04-21,sample,6.26,82.0,1.24,1.99,42.0,89.0
2026-04-22,sample,7.58,74.0,0.94,1.93,55.0,90.0
2026-04-23,sample,6.88,75.0,0.83,1.56,38.0,80.0
2026-04-24,sample,7.89,89.0,1.51,1.23,36.0,89.0
2026-04-25,sample,5.76,70.0,1.19,1.5,50.0,85.0
2026-04-26,sample,6.73,59.0,0.99,1.67,30.0,85.0
